Satellite,Total Frames,Days Covered,Average Frames per Day
SAOCOM-1A,33,14,2.357142857142857
SAOCOM-1B,14,7,2.0
COSMO-SkyMed-SG-2,8,3,2.6666666666666665
COSMO-SkyMed-SG-1,14,6,2.3333333333333335
ICEYE-X47,1,1,1.0
ICEYE-X31,34,10,3.4
ICEYE-X11,2,1,2.0
ICEYE-X38,17,7,2.4285714285714284
ICEYE-X20,6,2,3.0
ICEYE-X49,12,5,2.4
ICEYE-X46,17,5,3.4
ICEYE-X7,3,1,3.0
ICEYE-X13,3,1,3.0
ICEYE-X35,14,5,2.8
ICEYE-X42,35,10,3.5
ICEYE-X44,31,9,3.4444444444444446
ICEYE-X8,7,2,3.5
ICEYE-X6,1,1,1.0
ICEYE-X25,2,2,1.0
ICEYE-X23,1,1,1.0
ALL,255,28,9.107142857142858
